id,date,sale,city
568,2024-04-18,7473,Ciudad del Este
569,2024-06-05,2660,Suva
570,2024-01-01,2641,Invercargill
571,2024-05-15,6478,Livingstone
572,2024-06-02,2394,Maceió
573,2024-03-19,5647,Port Said
574,2024-04-16,4438,Porto
575,2024-06-28,5053,Dublin
576,2024-06-12,5076,Suez
577,2024-06-20,9809,Chuí
578,2024-06-04,6021,Puebla
579,2024-03-14,9766,Port of Spain
580,2024-04-27,9224,Cardiff
581,2024-05-02,6446,St. Louis
582,2024-04-30,6022,Tiraspol
583,2024-05-10,6654,Calgary
584,2024-05-11,8688,La Paz
585,2024-06-25,7800,Recife
586,2024-01-26,7020,Novosibirsk
587,2024-04-20,7474,Vancouver
588,2024-03-18,2062,Campinas
589,2024-01-15,7784,Melekeok
590,2024-01-16,8336,Kota Kinabalu
591,2024-05-21,9368,Cork (city)
592,2024-04-15,8031,Omdurman
593,2024-03-24,7117,Stepanakert
594,2024-01-22,3449,Lima
595,2024-03-18,5781,Birkirkara
596,2024-04-20,4195,Changchun
597,2024-04-24,9198,Innsbruck
598,2024-03-09,7134,Ahmedabad
599,2024-02-16,5865,Omdurman
600,2024-02-14,3412,Istanbul
601,2024-06-23,5715,Daegu
602,2024-04-08,7603,Louisville
603,2024-05-06,5935,Wollongong
604,2024-04-29,2162,Santa Cruz de la Sierra
605,2024-06-06,5893,Sana'a
606,2024-06-19,5293,Moroni
607,2024-05-28,2236,Dresden
608,2024-05-13,9608,Xining
609,2024-05-24,7942,Saskatoon
610,2024-01-03,7747,Sabha
611,2024-02-06,8584,Phnom Penh
612,2024-03-22,3137,Zapopan
613,2024-06-18,8163,Kawasaki
614,2024-04-20,4634,Wellington
615,2024-04-24,5282,Pelotas
616,2024-03-09,4325,Padang
617,2024-03-04,2080,Novosibirsk
618,2024-04-02,4724,Thiès
619,2024-03-16,3091,Vitória
620,2024-05-19,6162,Kingston
621,2024-03-28,2444,Omdurman
622,2024-01-08,3457,Francistown
623,2024-01-19,9482,Saint John
624,2024-05-20,4045,Phuket (city)
625,2024-01-25,8772,New York City
626,2024-03-12,4963,Iquique
627,2024-04-21,5406,Bilbao
628,2024-01-17,9471,Dodoma
629,2024-02-15,4041,Dar es Salaam
630,2024-01-14,3562,Baghdad
631,2024-02-27,2336,Ibiza
632,2024-01-10,3329,Mexicali
633,2024-01-13,6086,Srinagar
634,2024-05-09,7908,Forked River
635,2024-03-07,7980,Nukuʻalofa
636,2024-02-01,2188,Padang
637,2024-03-11,4644,Jinan
638,2024-01-18,9823,Cairo
639,2024-04-26,8736,Nanjing
640,2024-05-29,3574,Ambon
641,2024-04-01,4655,Honolulu
642,2024-01-02,6570,Quetzaltenango
643,2024-04-30,5570,Mérida
644,2024-03-09,9112,Kinshasa
645,2024-01-09,6948,Daegu
646,2024-03-17,8779,City of Halifax
647,2024-05-11,8404,Raleigh
648,2024-02-21,3872,Ponta Delgada
649,2024-05-21,5225,Stockholm
650,2024-06-03,4606,Bujumbura
651,2024-04-25,5563,Lanzhou
652,2024-06-01,2601,Konya
653,2024-04-07,5611,Kuwait City
654,2024-06-15,4911,Recife
655,2024-03-05,2949,Nouakchott
656,2024-06-10,4704,Gibraltar
657,2024-03-21,5506,Gothenburg
658,2024-02-25,5252,Iqaluit
659,2024-04-18,9053,Sitka
660,2024-06-05,9757,Sydney
661,2024-01-01,5140,Shigatse
662,2024-05-15,4850,Brasília
663,2024-06-02,9742,Lagos
664,2024-06-21,8048,Nassau
665,2024-02-05,9244,La Paz
666,2024-04-03,8617,Mbabane
667,2024-01-24,8212,Hamilton
668,2024-01-20,4567,St. John's
669,2024-06-20,8039,Virginia Beach
670,2024-04-22,3877,Kabul
671,2024-06-28,5676,Seville
672,2024-06-12,2363,Punta Arenas
673,2024-06-20,8882,Dibrugarh
674,2024-06-04,3247,The Valley
675,2024-02-13,5537,Guadalajara
676,2024-05-10,4130,Honolulu
677,2024-04-04,7838,Bratsk
678,2024-02-24,2464,Reykjavík
679,2024-06-01,9683,Cardiff
680,2024-01-15,8323,Auckland
681,2024-01-26,9429,Lima
682,2024-03-07,2503,Kraków
683,2024-01-28,5667,San Juan
684,2024-02-10,9056,Frankfurt
685,2024-06-11,5192,Vatican City
686,2024-02-08,6898,Prague
687,2024-01-06,8999,Namangan
688,2024-06-21,5629,Raleigh
689,2024-01-05,3751,Memphis
690,2024-04-17,4178,Lyon
691,2024-05-21,7256,Novosibirsk
692,2024-04-15,3317,Doha
693,2024-03-24,3464,Toulouse
694,2024-01-22,9182,Quebec City
695,2024-04-20,2288,Bangui
696,2024-04-24,8072,Hanover
697,2024-03-09,6645,Dibrugarh
698,2024-02-01,2693,Dubai
699,2024-01-23,4651,Moscow
700,2024-05-19,7937,Shillong
701,2024-06-06,5639,Hangzhou
702,2024-02-17,6549,Kabul
703,2024-03-16,7818,Ashgabat
704,2024-05-18,7452,Suva
705,2024-06-18,5044,Fukuoka
706,2024-04-28,4643,Auckland
707,2024-02-07,2734,Tokyo
708,2024-05-22,9635,Vitória
709,2024-02-05,5970,Zapopan
710,2024-04-02,5737,Konya
711,2024-06-16,6717,Paris
712,2024-02-29,7206,Aberdeen
713,2024-06-04,5223,Ilhéus
714,2024-01-01,2041,Zapopan
715,2024-05-18,7489,Lahore
716,2024-05-15,2008,Geneva
717,2024-03-29,2395,Sabha
718,2024-05-01,7698,Christchurch
719,2024-02-20,9999,New Orleans
720,2024-03-04,8288,Wollongong
721,2024-05-27,4264,Split (city)
722,2024-05-24,5935,Adelaide
723,2024-01-14,6260,Willemstad
724,2024-03-03,9202,Athens
725,2024-04-23,3983,Phnom Penh
726,2024-02-09,6494,Dhaka
727,2024-05-08,5334,Boa Vista
728,2024-05-12,9634,Vienna
729,2024-06-06,2004,Newcastle
730,2024-06-13,7715,Santa Cruz de Tenerife
731,2024-06-27,3516,Maracaibo
732,2024-06-10,5116,Dar es Salaam
733,2024-06-30,8843,Split (city)
734,2024-06-09,8137,Saint-Denis
735,2024-06-25,3078,Cannes
736,2024-06-15,8225,Chicago
737,2024-06-01,6843,Peshawar
738,2024-06-28,7276,Douglas
739,2024-06-12,7542,Antwerp
740,2024-06-20,6450,Casablanca
741,2024-06-04,7071,Mumbai
742,2024-01-25,5111,Tunis
743,2024-02-14,7114,Magadan
744,2024-03-02,3610,Chongqing
745,2024-04-03,8109,Havana
746,2024-02-06,8560,San Fernando
747,2024-04-21,7233,Koror
748,2024-06-08,2404,Maceió
749,2024-04-12,2080,Bogotá
750,2024-04-11,4871,Lima
751,2024-02-03,2058,Khartoum
752,2024-05-03,3106,Bangalore
753,2024-03-30,2818,Libreville
754,2024-04-29,2986,Udon Thani
755,2024-01-04,4964,Linz
756,2024-06-12,2920,Zamboanga City
757,2024-03-14,7453,Amman
758,2024-03-27,4875,Mwanza
759,2024-01-24,8529,Sitka
760,2024-04-10,2169,Miri
761,2024-06-15,5150,Sacramento
762,2024-05-14,2379,Changchun
763,2024-03-05,7164,Singapore
764,2024-02-18,4156,Vancouver
765,2024-06-28,8194,Manaus
766,2024-06-12,9452,İzmir
767,2024-06-20,7538,Glasgow
768,2024-06-04,3975,Kansas City
769,2024-02-19,3855,Frankfurt
770,2024-05-17,7364,Luxor
771,2024-03-26,2509,Nukus
772,2024-04-27,8774,Dededo
773,2024-03-21,3966,Marseille
774,2024-06-03,4224,Gold Coast
775,2024-02-25,3812,Hamilton
776,2024-02-23,6982,Zhengzhou
777,2024-05-23,8417,George Town
778,2024-01-08,6894,Koulikoro
779,2024-04-20,5708,Ndola
780,2024-04-24,6419,Pittsburgh
781,2024-03-09,3978,Jinan
782,2024-04-06,6785,Pristina
783,2024-04-14,6041,Odessa
784,2024-05-02,9594,Buenos Aires
785,2024-06-23,5927,Bursa
786,2024-05-05,8503,Calgary
787,2024-04-26,8000,Livingstone
788,2024-05-31,2063,St. Louis
789,2024-05-06,2100,Casablanca
790,2024-03-11,3328,Wichita
791,2024-04-18,6941,Ludhiana
792,2024-06-25,2183,Osaka
793,2024-03-28,2844,Pune
794,2024-06-27,3537,Multan
795,2024-05-20,6116,Jersey City
796,2024-03-22,5820,Pekanbaru
797,2024-03-23,4416,Vientiane
798,2024-05-21,7370,Cotonou
799,2024-04-15,8111,Dibrugarh
800,2024-03-24,7538,Chennai
801,2024-01-22,9796,New Orleans
802,2024-03-18,9843,Nuuk
803,2024-04-20,8445,Denpasar
804,2024-05-14,5743,Helsinki
805,2024-05-21,7597,Campo Grande
806,2024-04-15,8261,Gangtok
807,2024-03-24,6691,Kingston
808,2024-01-22,7150,Thessaloniki
809,2024-03-18,9825,Labasa
810,2024-04-20,5439,Oklahoma City
811,2024-04-19,8807,Bandung
812,2024-01-10,2403,Lobamba
813,2024-01-27,2797,Cincinnati
814,2024-04-02,7436,Nagpur
815,2024-06-16,3302,Medina
816,2024-02-29,9286,Las Vegas
817,2024-06-04,4485,Zamboanga City
818,2024-01-01,2289,São José dos Campos
819,2024-05-18,2866,Udon Thani
820,2024-05-15,8252,Chişinău
821,2024-03-29,3085,Anchorage
822,2024-05-01,4551,Riverside
823,2024-02-20,8236,Kinshasa
824,2024-03-04,7752,Namangan
825,2024-05-27,7360,Manzini
826,2024-05-24,2323,Bandung
827,2024-01-14,5263,Lobamba
828,2024-03-03,7357,Miami
829,2024-04-23,7166,Amsterdam
830,2024-02-09,6036,Nukus
831,2024-05-08,5924,Sri Jayawardenapura-Kotte
832,2024-05-12,2914,Cairo
833,2024-01-29,3741,Melekeok
834,2024-04-07,7951,Riga
835,2024-05-10,4016,Nice
836,2024-04-12,4081,Podgorica
837,2024-06-27,8463,Skopje
838,2024-04-30,9523,Porto Alegre
839,2024-03-09,9201,Amman
840,2024-01-09,3292,Port of Spain
841,2024-03-17,5955,Sabha
842,2024-05-11,6191,Managua
843,2024-02-21,8790,Strasbourg
844,2024-05-21,7428,Blantyre
845,2024-06-03,6528,Kathmandu
846,2024-04-25,3457,Ottawa
847,2024-06-01,2485,Dalian
848,2024-04-07,2301,Sitka
849,2024-06-15,3175,Cayenne
850,2024-03-05,7997,Aarhus
851,2024-06-10,9928,Suez
852,2024-03-21,8457,Yamoussoukro
853,2024-02-25,6080,Yaoundé
854,2024-04-18,4827,Pune
855,2024-06-05,3389,Johannesburg
856,2024-01-01,8322,Jeddah
857,2024-05-15,2146,Regina
858,2024-06-02,4454,Mendoza
859,2024-03-19,6581,Yamoussoukro
860,2024-04-16,2181,Recife
861,2024-02-09,3587,Zagreb
862,2024-02-19,8792,Leeds
863,2024-02-11,6577,Miri
864,2024-03-26,3308,Sydney
865,2024-03-14,2112,Puerto Williams
866,2024-04-27,6021,Kansas City
867,2024-05-02,6525,Espoo
868,2024-04-30,4468,Tegucigalpa
869,2024-05-10,5695,Cotonou
870,2024-05-11,8769,Berlin
871,2024-06-25,7732,Khartoum
872,2024-01-26,2959,Huế
873,2024-04-20,3664,Francistown
874,2024-04-20,3238,Huế
875,2024-04-24,9072,Pretoria
876,2024-06-06,6019,Tehran
877,2024-06-13,4866,Suez
878,2024-06-27,4532,Tampa
